"host","name"
"DK01SV7952","TESTCOW/Scripted Upgrade"
"DK01SV7953","TESTCOW/Scripted Upgrade"
"DK01SV7954","TESTCOW/Scripted Upgrade"
"DK01SV7955","TESTCOW/Scripted Upgrade"
"DK01SV7956","TESTCOW/Scripted Upgrade"
"DK01SV7957","TESTCOW/Scripted Upgrade"
"DK01SV7958","TESTCOW/Scripted Upgrade"
"DK01SV7959","TESTCOW/Scripted Upgrade"
"DK01SV9940","TESTCOW/Scripted Upgrade"
"DK01SV9941","TESTCOW/Scripted Upgrade"
"DK01SV9942","TESTCOW/Scripted Upgrade"
"DK01SV9943","TESTCOW/Scripted Upgrade"
"DK01SV9950","TESTCOW/Scripted Upgrade"
"DK01SV9951","TESTCOW/Scripted Upgrade"
"DK01SV9952","TESTCOW/Scripted Upgrade"
"DK01SV7914","TESTCOW/Scripted Upgrade"
"DK01SV8516","TESTCOW/Shipped Version/59/Win2008"
"DK01SV8519","TESTCOW/Shipped Version/62/Win2012"
"DK01SV8577","TESTCOW/Shipped Version/63/Win2012"
"DK01SV8579","TESTCOW/Shipped Version/63/Win2012"
"DK01SV8575","TESTCOW/Shipped Version/631/Win2012"
"DK01SV8576","TESTCOW/Shipped Version/631/Win2012"
"DK01SV8583","TESTCOW/Shipped Version/64/Win2012"
"DK01SV8584","TESTCOW/Shipped Version/64/Win2012"
"DK01SV8585","TESTCOW/TEST"
"DK01SV8586","TESTCOW/TEST"
"DK01SV8871","TESTCOW/Tivoli Master"
